word,df,idf,nidn
express,27,0.999,0006114805
manganes,3,2.944,0006114805
superoxid,3,2.944,0006114805
dismutas,3,2.944,0006114805
rat,14,1.623,0006114805
blood,4,2.721,0006114805
heart,3,2.944,0006114805
induc,9,2.028,0006114805
system,6,2.385,0006114805
hypoxia,18,1.386,0006114805
effect,9,2.028,0006114805
chronic,5,2.539,0006114805
factor1α,6,2.385,0006114805
factor,3,2.944,0006114805
protein,9,2.028,0006114805
indonesia,3,2.944,0006114805
folat,4,2.721,0006114805
bind,4,2.721,0006114805
extract,4,2.721,0006114805
mouse,4,2.721,0006114805
correl,3,2.944,0006114805
endotheli,3,2.944,0006114805
studi,7,2.251,0006114805
isol,3,2.944,0006114805
fibroblast,4,2.721,0006114805
character,4,2.721,0006114805
trypsinlik,4,2.721,0006114805
protea,4,2.721,0006114805
lactobacillu,4,2.721,0006114805
plantarum,4,2.721,0006114805
fncc,4,2.721,0006114805
0270,4,2.721,0006114805
stem,6,2.385,0006114805
cell,11,1.846,0006114805
human,8,2.134,0006114805
receptor,3,2.944,0006114805
breast,4,2.721,0006114805
cancer,7,2.251,0006114805
cytoglobin,5,2.539,0006114805
oxid,5,2.539,0006114805
stress,5,2.539,0006114805
liver,3,2.944,0006114805
hif1α,6,2.385,0006114805
keloid,7,2.251,0006114805
tissu,9,2.028,0006114805
model,3,2.944,0006114805
rel,4,2.721,0006114805
use,3,2.944,0006114805
respons,4,2.721,0006114805
gene,6,2.385,0006114805
activ,5,2.539,0006114805
carbon,3,2.944,0006114805
kidney,3,2.944,0006114805
injuri,3,2.944,0006114805
hypox,3,2.944,0006114805
role,7,2.251,0006114805
patient,3,2.944,0006114805
prolifer,4,2.721,0006114805
marker,3,2.944,0006114805
regener,3,2.944,0006114805
sensit,3,2.944,0006114805
increas,3,2.944,0006114805
age,3,1.447,0019045405
indonesian,5,1.041,0019045405
kerja,3,1.447,0019045405
fatigu,4,1.224,0019045405
safeti,3,1.447,0019045405
behavior,3,1.447,0019045405
develop,3,1.447,0019045405
system,4,1.224,0019045405
human,3,1.447,0019045405
factor,3,1.447,0019045405
flow,4,0.956,0008086305
use,3,1.179,0008086305
flotat,3,1.179,0008086305
nozzl,3,1.179,0008086305
design,3,1.179,0008086305
scaffold,10,1.553,0316097603
monitor,3,2.565,0316097603
cell,5,2.159,0316097603
process,3,2.565,0316097603
base,4,2.342,0316097603
use,10,1.553,0316097603
engin,12,1.386,0316097603
composit,6,2.005,0316097603
tissu,6,2.005,0316097603
bone,6,2.005,0316097603
electr,4,2.342,0316097603
mechan,4,2.342,0316097603
applic,9,1.649,0316097603
fabric,5,2.159,0316097603
character,6,2.005,0316097603
develop,5,2.159,0316097603
realiz,4,2.342,0316097603
surfac,4,2.342,0316097603
method,4,2.342,0316097603
biomed,7,1.872,0316097603
implant,7,1.872,0316097603
biomateri,5,2.159,0316097603
design,6,2.005,0316097603
preliminari,3,2.565,0316097603
studi,3,2.565,0316097603
intern,3,2.565,0316097603
devic,3,2.565,0316097603
acid,4,2.342,0316097603
model,3,2.565,0316097603
print,3,2.565,0316097603
evalu,3,2.565,0316097603
analysi,3,2.565,0316097603
data,4,2.734,0002056304
resourc,3,2.958,0002056304
potensi,3,2.958,0002056304
tahan,4,2.734,0002056304
pangan,4,2.734,0002056304
tani,3,2.958,0002056304
indonesia,5,2.552,0002056304
bijak,5,2.552,0002056304
program,3,2.958,0002056304
analisis,6,2.398,0002056304
kerja,6,2.398,0002056304
usaha,3,2.958,0002056304
ekonomi,3,2.958,0002056304
desa,3,2.958,0002056304
studi,15,1.571,0002056304
kasus,6,2.398,0002056304
kabupaten,8,2.147,0002056304
jawa,3,2.958,0002056304
giat,3,2.958,0002056304
tahun,3,2.958,0002056304
use,5,2.552,0002056304
model,8,2.147,0002056304
ajar,7,2.264,0002056304
tingkat,9,2.041,0002056304
terampil,5,2.552,0002056304
pikir,3,2.958,0002056304
siswa,3,2.958,0002056304
pengaruh,3,2.958,0002056304
merapi,3,2.958,0002056304
lingkung,5,2.552,0002056304
kait,4,2.734,0002056304
rawan,3,2.958,0002056304
bencana,4,2.734,0002056304
rapi,3,2.958,0002056304
jaring,6,2.398,0002056304
guna,4,2.734,0002056304
universitas,3,2.958,0002056304
metode,5,2.552,0002056304
sensor,5,2.552,0002056304
bas,8,2.147,0002056304
terap,4,2.734,0002056304
klasifikasi,3,2.958,0002056304
kembang,8,2.147,0002056304
learning,3,2.958,0002056304
serta,6,2.398,0002056304
didik,6,2.398,0002056304
malang,3,2.958,0002056304
lalu,4,2.734,0002056304
manajemen,3,2.958,0002056304
network,4,2.734,0002056304
sma,3,2.958,0002056304
bangun,3,2.958,0002056304
area,3,2.958,0002056304
kota,3,2.958,0002056304
lereng,5,2.552,0002056304
baratdaya,4,2.734,0002056304
gunungapi,4,2.734,0002056304
negeri,3,2.958,0002056304
camat,3,2.958,0002056304
kelas,3,2.958,0002056304
system,4,2.734,0002056304
mataair,3,2.958,0002056304
merbabu,3,2.958,0002056304
develop,4,1.281,0007108303
freez,4,1.281,0007108303
vacuum,4,1.281,0007108303
dri,4,1.281,0007108303
type,3,1.504,0007108303
fluida,3,1.504,0007108303
kerja,3,1.504,0007108303
kembang,3,1.504,0007108303
organic,3,1.504,0007108303
rankine,3,1.504,0007108303
cycle,3,1.504,0007108303
temperatur,3,1.504,0007108303
cpc,3,1.504,0007108303
budaya,4,2.104,0022107104
bentuk,4,2.104,0022107104
kaji,5,1.922,0022107104
ruang,4,2.104,0022107104
bangun,5,1.922,0022107104
arsitektur,3,2.327,0022107104
nelayan,5,1.922,0022107104
medan,3,2.327,0022107104
belawan,10,1.316,0022107104
unplan,4,2.104,0022107104
settlement,5,1.922,0022107104
villag,5,1.922,0022107104
indonesia,4,2.104,0022107104
koridor,3,2.327,0022107104
commun,4,2.104,0022107104
kampung,7,1.634,0022107104
jalan,3,2.327,0022107104
citi,4,2.104,0022107104
kawasan,11,1.229,0022107104
wisata,6,1.768,0022107104
jamin,3,2.327,0022107104
batu,3,2.327,0022107104
tata,5,1.922,0022107104
effect,3,2.327,0022107104
coastal,3,2.327,0022107104
level,3,2.327,0022107104
patient,4,2.104,0022107104
pantai,7,1.634,0022107104
cermin,7,1.634,0022107104
kabupaten,3,2.327,0022107104
serdang,3,2.327,0022107104
bedagai,3,2.327,0022107104
rencana,4,2.104,0022107104
effect,4,1.917,0019097206
synthesi,13,0.887,0019097206
insulin,3,2.14,0019097206
nanoparticl,4,1.917,0019097206
sodalit,3,2.14,0019097206
natur,5,1.735,0019097206
kaolin,5,1.735,0019097206
mesopor,6,1.58,0019097206
alumina,3,2.14,0019097206
red,3,2.14,0019097206
mud,3,2.14,0019097206
adsorpt,4,1.917,0019097206
use,7,1.447,0019097206
catalyst,4,1.917,0019097206
direct,4,1.917,0019097206
influenc,3,2.14,0019097206
extract,3,2.14,0019097206
oil,7,1.447,0019097206
process,3,2.14,0019097206
zeolit,3,2.14,0019097206
transesterif,5,1.735,0019097206
wast,6,1.58,0019097206
cook,3,2.14,0019097206
watersolubl,3,2.14,0019097206
chitosan,3,2.14,0019097206
effect,4,2.845,0005046405
photovolta,4,2.845,0005046405
gener,10,2.056,0005046405
power,22,1.319,0005046405
qualiti,5,2.663,0005046405
industri,3,3.068,0005046405
distribut,12,1.889,0005046405
network,19,1.459,0005046405
dynam,3,3.068,0005046405
optim,19,1.459,0005046405
flow,4,2.845,0005046405
plant,5,2.663,0005046405
energi,9,2.152,0005046405
analysi,9,2.152,0005046405
safeti,4,2.845,0005046405
integr,3,3.068,0005046405
level,4,2.845,0005046405
use,33,0.928,0005046405
base,18,1.51,0005046405
particl,7,2.375,0005046405
swarm,7,2.375,0005046405
wavelet,3,3.068,0005046405
transform,4,2.845,0005046405
cost,6,2.508,0005046405
placement,4,2.845,0005046405
wind,5,2.663,0005046405
turbin,3,3.068,0005046405
algorithm,7,2.375,0005046405
indonesia,4,2.845,0005046405
grid,3,3.068,0005046405
voltag,7,2.375,0005046405
control,9,2.152,0005046405
consid,4,2.845,0005046405
system,25,1.196,0005046405
quadrat,3,3.068,0005046405
program,4,2.845,0005046405
oper,4,2.845,0005046405
studi,3,3.068,0005046405
econom,6,2.508,0005046405
dispatch,7,2.375,0005046405
storag,5,2.663,0005046405
unit,3,3.068,0005046405
phase,3,3.068,0005046405
solar,3,3.068,0005046405
time,3,3.068,0005046405
stabil,5,2.663,0005046405
extrem,12,1.889,0005046405
learn,11,1.969,0005046405
machin,11,1.969,0005046405
method,12,1.889,0005046405
develop,4,2.845,0005046405
microgrid,5,2.663,0005046405
mobil,3,3.068,0005046405
robot,5,2.663,0005046405
point,3,3.068,0005046405
modifi,5,2.663,0005046405
paramet,3,3.068,0005046405
improv,3,3.068,0005046405
model,6,2.508,0005046405
reduct,3,3.068,0005046405
loss,4,2.845,0005046405
concept,3,3.068,0005046405
binari,3,3.068,0005046405
electr,4,2.845,0005046405
hybrid,4,2.845,0005046405
harmon,3,3.068,0005046405
comparison,8,2.257,0005046405
fuzzi,5,2.663,0005046405
logic,3,3.068,0005046405
neural,14,1.746,0005046405
implement,6,2.508,0005046405
fuel,3,3.068,0005046405
determin,3,3.068,0005046405
guna,3,3.068,0005046405
smart,4,2.845,0005046405
size,3,3.068,0005046405
radial,3,3.068,0005046405
monitor,4,2.845,0005046405
elm,3,3.068,0005046405
microcontrol,3,3.068,0005046405
applic,3,3.068,0005046405
design,6,2.508,0005046405
artifici,3,3.068,0005046405
meter,3,3.068,0005046405
halal,4,2.845,0005046405
kabupaten,3,3.068,0005046405
lingkung,3,2.603,0028015505
kota,4,2.38,0028015505
model,10,1.591,0028015505
wastewat,3,2.603,0028015505
studi,13,1.35,0028015505
water,16,1.156,0028015505
qualiti,7,1.91,0028015505
river,15,1.216,0028015505
guna,6,2.043,0028015505
metode,3,2.603,0028015505
olah,9,1.686,0028015505
air,12,1.424,0028015505
limbah,13,1.35,0028015505
reaktor,4,2.38,0028015505
karbon,3,2.603,0028015505
aktif,4,2.38,0028015505
laundry,3,2.603,0028015505
biofilter,5,2.197,0028015505
system,4,2.38,0028015505
use,11,1.504,0028015505
method,7,1.91,0028015505
applic,3,2.603,0028015505
nitrat,3,2.603,0028015505
fosfat,3,2.603,0028015505
total,4,2.38,0028015505
kali,3,2.603,0028015505
surabaya,12,1.424,0028015505
lurah,3,2.603,0028015505
branta,3,2.603,0028015505
citi,6,2.043,0028015505
malang,6,2.043,0028015505
treatment,5,2.197,0028015505
wast,3,2.603,0028015505
plant,5,2.197,0028015505
evalu,5,2.197,0028015505
evaluasi,4,2.38,0028015505
ipal,3,2.603,0028015505
mode,5,2.197,0028015505
effect,5,2.197,0028015505
risk,4,2.38,0028015505
analysi,6,2.043,0028015505
product,6,2.043,0028015505
failur,3,2.603,0028015505
camat,3,2.603,0028015505
district,5,2.197,0028015505
dynam,3,2.603,0028015505
drink,3,2.603,0028015505
segment,3,2.603,0028015505
control,3,2.603,0028015505
pengaruh,4,2.001,0010086506
kerja,3,2.225,0010086506
simul,5,1.819,0010086506
system,6,1.665,0010086506
deep,5,1.819,0010086506
draw,5,1.819,0010086506
process,6,1.665,0010086506
cup,3,2.225,0010086506
modal,5,1.819,0010086506
analysis,3,2.225,0010086506
energi,6,1.665,0010086506
vehicl,3,2.225,0010086506
suspens,4,2.001,0010086506
use,5,1.819,0010086506
electromagnet,4,2.001,0010086506
model,7,1.531,0010086506
regen,3,2.225,0010086506
blank,4,2.001,0010086506
holder,4,2.001,0010086506
forc,6,1.665,0010086506
control,5,1.819,0010086506
analysi,3,2.225,0010086506
influenc,3,2.225,0010086506
tahu,3,2.225,0010086506
analisis,3,2.225,0010086506
electr,3,2.225,0010086506
studi,5,1.819,0010086506
base,3,2.225,0010086506
iron,3,2.225,0010086506
model,5,0.773,0028017307
tingkat,3,1.179,0028017307
ajar,4,0.956,0028017307
mandiri,3,1.179,0028017307
studi,6,0.619,0028017307
educ,6,0.619,0028017307
program,3,1.179,0028017307
nonform,4,0.956,0028017307
didik,3,1.504,0015107205
childhood,7,0.811,0015107205
anak,8,0.693,0015107205
usia,4,1.281,0015107205
camat,3,1.504,0015107205
medan,5,1.099,0015107205
karies,3,1.504,0015107205
gigi,4,1.281,0015107205
tahun,3,1.504,0015107205
child,5,1.099,0015107205
earli,6,0.944,0015107205
cari,6,0.944,0015107205
risk,3,1.504,0015107205
salivari,3,1.504,0015107205
age,3,1.504,0015107205
year,3,1.504,0015107205
sever,3,1.504,0015107205
hukum,13,0.357,0002047806
lindung,3,1.609,0002047806
tanah,3,1.609,0002047806
selesai,4,1.386,0002047806
sengketa,4,1.386,0002047806
tinjau,4,1.386,0002047806
usaha,6,1.05,0002047806
indonesia,8,0.799,0002047806
pasti,3,1.609,0002047806
tega,3,1.609,0002047806
lalu,3,1.609,0002047806
konsumen,3,1.609,0002047806
kaji,3,1.833,0031056501
arif,9,0.916,0031056501
lokal,10,0.821,0031056501
masyarakat,11,0.734,0031056501
baduy,11,0.734,0031056501
lestari,3,1.833,0031056501
budaya,6,1.273,0031056501
mitigasi,5,1.427,0031056501
bencana,5,1.427,0031056501
tradit,3,1.833,0031056501
hand,4,1.609,0031056501
stencil,4,1.609,0031056501
prehistor,4,1.609,0031056501
cave,4,1.609,0031056501
south,4,1.609,0031056501
sulawesi,6,1.273,0031056501
indonesia,4,1.609,0031056501
jejak,4,1.609,0031056501
maritim,3,1.833,0031056501
gambar,3,1.833,0031056501
gua,4,1.609,0031056501
prasejarah,3,1.833,0031056501
sosialisasi,3,1.833,0031056501
structur,5,2.367,0001027002
use,7,2.079,0001027002
studi,10,1.761,0001027002
dinamis,3,2.773,0001027002
struktur,14,1.451,0001027002
jembatan,7,2.079,0001027002
seberang,3,2.773,0001027002
orang,3,2.773,0001027002
jpo,3,2.773,0001027002
akibat,4,2.549,0001027002
beban,5,2.367,0001027002
manusia,3,2.773,0001027002
gerak,3,2.773,0001027002
concret,11,1.674,0001027002
model,3,2.773,0001027002
base,6,2.213,0001027002
subject,4,2.549,0001027002
static,3,2.773,0001027002
load,9,1.856,0001027002
dynam,3,2.773,0001027002
perilaku,5,2.367,0001027002
balok,4,2.549,0001027002
pracetak,4,2.549,0001027002
rumah,4,2.549,0001027002
tingkat,3,2.773,0001027002
guna,13,1.52,0001027002
metode,7,2.079,0001027002
case,3,2.773,0001027002
surabaya,4,2.549,0001027002
submerg,7,2.079,0001027002
float,7,2.079,0001027002
tunnel,7,2.079,0001027002
seismic,3,2.773,0001027002
cabl,3,2.773,0001027002
modifikasi,15,1.386,0001027002
rencana,17,1.269,0001027002
sistem,8,1.962,0001027002
rangka,8,1.962,0001027002
gedung,10,1.761,0001027002
beton,3,2.773,0001027002
lantai,5,2.367,0001027002
ass,3,2.773,0001027002
reinforc,9,1.856,0001027002
build,3,2.773,0001027002
effect,4,2.549,0001027002
hydrodynam,4,2.549,0001027002
materi,5,2.367,0001027002
system,3,2.773,0001027002
analysi,3,2.773,0001027002
corros,3,2.773,0001027002
induc,3,2.773,0001027002
crack,3,2.773,0001027002
atap,4,2.549,0001027002
baja,8,1.962,0001027002
darah,3,2.773,0001027002
busur,4,2.549,0001027002
jakarta,4,2.549,0001027002
high,4,2.549,0001027002
coldform,4,2.549,0001027002
steel,3,2.773,0001027002
screw,3,2.773,0001027002
adhes,4,2.549,0001027002
kerja,3,2.773,0001027002
damping,4,2.549,0001027002
rubber,3,2.773,0001027002
bearing,3,2.773,0001027002
komposit,5,2.367,0001027002
bajabeton,3,2.773,0001027002
apartemen,5,2.367,0001027002
aku,3,2.773,0001027002
eksentris,3,2.773,0001027002
kabupaten,3,2.773,0001027002
earli,12,1.625,0006066404
warn,11,1.705,0006066404
landslid,28,0.822,0006066404
disast,6,2.244,0006066404
risk,13,1.551,0006066404
reduct,14,1.482,0006066404
central,4,2.58,0006066404
java,8,1.992,0006066404
indonesia,24,0.971,0006066404
analysi,5,2.398,0006066404
case,4,2.58,0006066404
studi,7,2.11,0006066404
yogyakarta,5,2.398,0006066404
geolog,3,2.803,0006066404
use,5,2.398,0006066404
bencana,5,2.398,0006066404
hazard,6,2.244,0006066404
approach,7,2.11,0006066404
earthquak,7,2.11,0006066404
provinc,3,2.803,0006066404
develop,16,1.356,0006066404
system,13,1.551,0006066404
gera,3,2.803,0006066404
tanah,4,2.58,0006066404
promot,4,2.58,0006066404
model,5,2.398,0006066404
mitig,3,2.803,0006066404
effect,4,2.58,0006066404
area,4,2.58,0006066404
respons,3,2.803,0006066404
west,4,2.58,0006066404
hybrid,4,2.58,0006066404
sociotechn,6,2.244,0006066404
program,4,2.58,0006066404
commun,5,2.398,0006066404
map,5,2.398,0006066404
regenc,3,2.803,0006066404
flow,3,2.803,0006066404
pantau,3,2.803,0006066404
daerah,4,2.58,0006066404
monitor,4,2.58,0006066404
base,4,2.58,0006066404
time,3,2.803,0006066404
stabil,3,2.803,0006066404
tambang,3,2.803,0006066404
kuari,3,2.803,0006066404
batugamping,3,2.803,0006066404
kabupaten,4,2.58,0006066404
jawa,3,2.803,0006066404
numer,3,2.803,0006066404
banjir,24,1.188,0024126207
sungai,11,1.922,0024126207
bencana,3,3.02,0024126207
kabupaten,13,1.768,0024126207
barat,4,2.797,0024126207
provinsi,9,2.104,0024126207
kaji,16,1.574,0024126207
operasi,4,2.797,0024126207
waduk,10,2.009,0024126207
wonogiri,6,2.461,0024126207
kendali,8,2.209,0024126207
wilayah,11,1.922,0024126207
bengawan,11,1.922,0024126207
solo,15,1.634,0024126207
hulu,8,2.209,0024126207
water,3,3.02,0024126207
pengaruh,11,1.922,0024126207
studi,21,1.316,0024126207
kasus,15,1.634,0024126207
kembang,6,2.461,0024126207
model,11,1.922,0024126207
kota,6,2.461,0024126207
kawasan,3,3.02,0024126207
air,12,1.842,0024126207
analisis,16,1.574,0024126207
karakteristik,10,2.009,0024126207
hujan,15,1.634,0024126207
ekstrim,3,3.02,0024126207
lereng,7,2.327,0024126207
gunung,7,2.327,0024126207
rapi,7,2.327,0024126207
spasial,4,2.797,0024126207
metode,4,2.797,0024126207
selatan,5,2.615,0024126207
sistem,4,2.797,0024126207
hidrologi,5,2.615,0024126207
hidrograf,10,2.009,0024126207
tingkat,3,3.02,0024126207
kerja,6,2.461,0024126207
satu,4,2.797,0024126207
daerah,12,1.842,0024126207
tangkap,3,3.02,0024126207
jawa,10,2.009,0024126207
tengah,7,2.327,0024126207
muka,4,2.797,0024126207
pesisir,3,3.02,0024126207
bantul,4,2.797,0024126207
istimewa,4,2.797,0024126207
yogyakarta,4,2.797,0024126207
sediment,3,3.02,0024126207
merapi,3,3.02,0024126207
river,6,2.461,0024126207
alir,3,3.02,0024126207
bas,3,3.02,0024126207
ubah,4,2.797,0024126207
bendung,4,2.797,0024126207
buat,3,3.02,0024126207
perangkat,3,3.02,0024126207
lunak,3,3.02,0024126207
simulasi,6,2.461,0024126207
hitung,3,3.02,0024126207
ruas,3,3.02,0024126207
kering,3,3.02,0024126207
kali,6,2.461,0024126207
lahan,4,2.797,0024126207
das,7,2.327,0024126207
flood,6,2.461,0024126207
central,6,2.461,0024126207
java,4,2.797,0024126207
indonesia,5,2.615,0024126207
manag,3,3.02,0024126207
manfaat,3,3.02,0024126207
area,5,2.615,0024126207
kalimantan,3,3.02,0024126207
timur,3,3.02,0024126207
semarang,3,3.02,0024126207
use,3,3.02,0024126207
guna,5,2.615,0024126207
data,4,2.797,0024126207
radar,6,2.461,0024126207
distribusi,3,3.02,0024126207
salur,3,3.02,0024126207
irigasi,3,3.02,0024126207
boro,3,3.02,0024126207
purworejo,3,3.02,0024126207
rainfal,3,3.02,0024126207
awat,3,2.546,0023057107
anak,6,1.986,0023057107
activ,3,2.546,0023057107
spc1,3,2.546,0023057107
tongu,5,2.14,0023057107
cancer,5,2.14,0023057107
cell,11,1.447,0023057107
vitro,3,2.546,0023057107
sulawesi,3,2.546,0023057107
gigi,3,2.546,0023057107
myrmecodia,8,1.735,0023057107
pendan,7,1.852,0023057107
flavonoid,4,2.322,0023057107
fraction,4,2.322,0023057107
angiogenesi,3,2.546,0023057107
inhibit,4,2.322,0023057107
human,3,2.546,0023057107
squamou,3,2.546,0023057107
carcinoma,3,2.546,0023057107
anticanc,3,2.546,0023057107
antiprolifer,3,2.546,0023057107
ant,6,1.986,0023057107
nest,5,2.14,0023057107
test,3,2.546,0023057107
studi,8,1.735,0023057107
child,10,1.534,0023057107
gingiv,5,2.14,0023057107
dental,5,2.14,0023057107
cari,9,1.629,0023057107
use,5,2.14,0023057107
papua,3,2.546,0023057107
treatment,4,2.322,0023057107
identif,3,2.546,0023057107
earli,6,1.986,0023057107
childhood,7,1.852,0023057107
ecc,4,2.322,0023057107
risk,4,2.322,0023057107
factor,6,1.986,0023057107
preschool,4,2.322,0023057107
extract,13,1.293,0023057107
growth,4,2.322,0023057107
burkitt,4,2.322,0023057107
lymphoma,4,2.322,0023057107
analysi,5,2.14,0023057107
review,3,2.546,0023057107
influenc,4,2.322,0023057107
acryl,3,2.546,0023057107
resin,3,2.546,0023057107
dentur,3,2.546,0023057107
base,6,1.986,0023057107
solut,4,2.322,0023057107
patient,6,1.986,0023057107
effect,6,1.986,0023057107
white,4,2.322,0023057107
streptococcu,4,2.322,0023057107
mutan,3,2.546,0023057107
nickel,3,2.546,0023057107
chromium,3,2.546,0023057107
level,4,2.322,0023057107
orthodont,3,2.546,0023057107
longitudin,3,2.546,0023057107
bone,3,2.546,0023057107
number,5,2.14,0023057107
bacteria,4,2.322,0023057107
periodont,4,2.322,0023057107
resist,3,2.546,0023057107
wound,3,2.546,0023057107
ethanol,3,2.546,0023057107
studi,6,2.576,0014045502
kualitas,4,2.912,0014045502
layan,17,1.631,0014045502
puas,9,2.219,0014045502
pasien,16,1.689,0014045502
ruang,4,2.912,0014045502
rawat,21,1.431,0014045502
inap,18,1.577,0014045502
rsud,15,1.749,0014045502
daya,4,2.912,0014045502
makassar,25,1.264,0014045502
tahun,15,1.749,0014045502
patient,10,2.124,0014045502
kerja,12,1.957,0014045502
sehat,13,1.883,0014045502
masyarakat,5,2.73,0014045502
pimpin,3,3.135,0014045502
rumah,16,1.689,0014045502
sakit,15,1.749,0014045502
media,4,2.912,0014045502
indonesia,14,1.814,0014045502
base,5,2.73,0014045502
cancer,5,2.73,0014045502
faktor,7,2.442,0014045502
instalasi,13,1.883,0014045502
analisis,7,2.442,0014045502
hubung,9,2.219,0014045502
awat,14,1.814,0014045502
umum,9,2.219,0014045502
provinsi,4,2.912,0014045502
sulawesi,12,1.957,0014045502
tenggara,6,2.576,0014045502
2013,8,2.325,0014045502
papua,5,2.73,0014045502
provinc,5,2.73,0014045502
implementasi,4,2.912,0014045502
rsup,7,2.442,0014045502
wahidin,8,2.325,0014045502
sudirohusodo,6,2.576,0014045502
gambar,12,1.957,0014045502
laksana,8,2.325,0014045502
mutu,4,2.912,0014045502
unit,3,3.135,0014045502
kabupaten,3,3.135,0014045502
budaya,5,2.73,0014045502
selamat,6,2.576,0014045502
tahu,6,2.576,0014045502
beri,3,3.135,0014045502
anutapura,3,3.135,0014045502
palu,3,3.135,0014045502
biaya,3,3.135,0014045502
stella,3,3.135,0014045502
mar,3,3.135,0014045502
persepsi,4,2.912,0014045502
jalan,3,3.135,0014045502
universitas,5,2.73,0014045502
hasanuddin,6,2.576,0014045502
terap,7,2.442,0014045502
program,3,3.135,0014045502
safety,4,2.912,0014045502
econom,3,3.135,0014045502
breast,3,3.135,0014045502
south,6,2.576,0014045502
kota,7,2.442,0014045502
hospit,7,2.442,0014045502
patuh,3,3.135,0014045502
2014,5,2.73,0014045502
health,10,2.124,0014045502
behavior,3,3.135,0014045502
cultur,3,3.135,0014045502
commun,5,2.73,0014045502
dasar,4,2.912,0014045502
urban,3,3.135,0014045502
jamin,3,3.135,0014045502
nasional,3,3.135,0014045502
selatan,3,3.135,0014045502
barat,3,3.135,0014045502
jkn,5,2.73,0014045502
polici,3,3.135,0014045502
2016,5,2.73,0014045502
cost,3,3.135,0014045502
effect,5,2.73,0014045502
analysi,5,2.73,0014045502
model,3,3.135,0014045502
servic,4,2.912,0014045502
surfac,4,2.303,0008058401
lamella,6,1.966,0008058401
morpholog,3,2.526,0008058401
spherulit,9,1.609,0008058401
poli,12,1.347,0008058401
llactic,3,2.526,0008058401
acid,15,1.139,0008058401
crack,5,2.12,0008058401
band,3,2.526,0008058401
polyllact,4,2.303,0008058401
effect,9,1.609,0008058401
l‐lactic,4,2.303,0008058401
lamellar,4,2.303,0008058401
orient,3,2.526,0008058401
ethylen,5,2.12,0008058401
blend,4,2.303,0008058401
adip,6,1.966,0008058401
crystal,5,2.12,0008058401
assembl,3,2.526,0008058401
pattern,3,2.526,0008058401
cair,4,2.303,0008058401
industri,3,2.526,0008058401
phenol,3,2.526,0008058401
co2,5,2.12,0008058401
absorpt,5,2.12,0008058401
promot,3,2.526,0008058401
carbon,3,2.526,0008058401
solut,3,2.526,0008058401
pack,3,2.526,0008058401
column,3,2.526,0008058401
cellulos,4,2.303,0008058401
membran,9,1.609,0008058401
process,6,1.966,0008058401
product,3,2.526,0008058401
ethanol,3,2.526,0008058401
coffe,3,2.526,0008058401
pulp,3,2.526,0008058401
bioga,3,2.526,0008058401
dea,3,2.526,0008058401
contactor,3,2.526,0008058401
use,9,1.609,0008058401
studi,3,2.526,0008058401
enhanc,3,2.526,0008058401
perform,5,2.12,0008058401
acetatepolyethylen,4,2.303,0008058401
glycol,4,2.303,0008058401
addit,3,2.526,0008058401
method,3,2.526,0008058401
kembang,4,1.335,0030047205
ajar,9,0.642,0030047205
kimia,10,0.547,0030047205
bas,4,1.335,0030047205
model,10,0.547,0030047205
develop,3,1.558,0030047205
mental,9,0.642,0030047205
chemistri,3,1.558,0030047205
sekolah,3,1.558,0030047205
calon,6,0.999,0030047205
guru,6,0.999,0030047205
pikir,3,1.558,0030047205
mahasiswa,5,1.153,0030047205
materi,3,1.558,0030047205
student,3,1.558,0030047205
learn,3,1.558,0030047205
concept,3,1.558,0030047205
urban,5,0.916,0030016201
float,3,1.322,0030016201
kampung,4,1.099,0030016201
citi,3,1.322,0030016201
sustain,3,1.322,0030016201
materi,5,0.916,0030016201
build,3,1.322,0030016201
hous,3,1.322,0030016201
develop,3,1.322,0030016201
design,3,1.322,0030016201
sintang,3,1.322,0030016201
anak,6,0.539,8814130016
diare,3,1.099,8814130016
carbon,3,1.179,0003075809
dioxid,3,1.179,0003075809
absorpt,3,1.179,0003075809
promot,3,1.179,0003075809
treatment,4,0.956,0003075809
oili,3,1.179,0003075809
electrocoagul,3,1.179,0003075809
use,4,0.956,0003075809
aluminum,3,1.179,0003075809
electrod,3,1.179,0003075809
classifi,4,2.833,0016095811
school,4,2.833,0016095811
rehabilit,3,3.056,0016095811
base,20,1.398,0016095811
neural,9,2.14,0016095811
network,14,1.735,0016095811
approach,5,2.651,0016095811
case,3,3.056,0016095811
indonesia,3,3.056,0016095811
adapt,7,2.363,0016095811
distribut,5,2.651,0016095811
system,14,1.735,0016095811
gener,3,3.056,0016095811
use,39,0.754,0016095811
firefli,3,3.056,0016095811
modifi,4,2.833,0016095811
model,6,2.497,0016095811
improv,5,2.651,0016095811
detect,7,2.363,0016095811
voltag,3,3.056,0016095811
stabil,3,3.056,0016095811
control,3,3.056,0016095811
hybrid,3,3.056,0016095811
develop,5,2.651,0016095811
optim,5,2.651,0016095811
energi,3,3.056,0016095811
radial,3,3.056,0016095811
imag,8,2.245,0016095811
classif,12,1.878,0016095811
featur,11,1.958,0016095811
extract,5,2.651,0016095811
level,3,3.056,0016095811
learn,4,2.833,0016095811
vector,3,3.056,0016095811
chang,3,3.056,0016095811
emot,5,2.651,0016095811
recognit,6,2.497,0016095811
signal,4,2.833,0016095811
robot,3,3.056,0016095811
