word,df,idf,id_topic
and,124,4.3,16
karakteristik,379,3.188,16
daging,231,3.681,16
sapi,251,3.599,16
asap,108,4.437,16
tepung,607,2.718,16
tulang,112,4.401,16
alami,137,4.201,16
daun,894,2.331,16
ekstrak,1541,1.787,16
sumber,110,4.418,16
jantan,186,3.897,16
sel,485,2.942,16
toksisitas,123,4.308,16
darah,273,3.515,16
air,411,3.107,16
aktif,204,3.805,16
manfaat,310,3.388,16
kombinasi,255,3.583,16
minyak,596,2.736,16
daya,137,4.201,16
antibakteri,294,3.441,16
bakteri,596,2.736,16
hambat,140,4.179,16
merah,241,3.639,16
uji,762,2.491,16
potensi,324,3.344,16
batang,167,4.004,16
jagung,100,4.513,16
efek,329,3.329,16
tikus,451,3.014,16
induksi,179,3.935,16
pangan,101,4.503,16
aktivitas,1110,2.115,16
fisik,338,3.302,16
padat,104,4.474,16
sintesis,761,2.492,16
senyawa,616,2.703,16
ubah,137,4.201,16
mutu,114,4.383,16
lama,301,3.418,16
campur,123,4.308,16
lemak,269,3.53,16
simpan,149,4.117,16
variasi,147,4.131,16
sedia,136,4.208,16
kadar,658,2.637,16
analisis,277,3.5,16
biji,278,3.497,16
beberapa,101,4.503,16
kandung,468,2.977,16
suhu,144,4.151,16
kaji,220,3.73,16
protein,481,2.95,16
organoleptik,101,4.503,16
dasar,172,3.975,16
karakterisasi,427,3.069,16
jumlah,169,3.992,16
ayam,448,3.021,16
broiler,199,3.83,16
ransum,246,3.619,16
bas,196,3.845,16
sawit,169,3.992,16
kayu,168,3.998,16
asam,837,2.397,16
vitro,283,3.479,16
kimia,299,3.424,16
rumput,137,4.201,16
laut,168,3.998,16
telur,245,3.623,16
ampas,117,4.357,16
ekstraksi,240,3.643,16
berat,130,4.253,16
buat,490,2.931,16
identifikasi,175,3.957,16
reaksi,131,4.245,16
jadi,128,4.268,16
formulasi,157,4.065,16
asetat,162,4.034,16
kelapa,211,3.771,16
beda,295,3.438,16
kembang,161,4.04,16
karbon,102,4.493,16
total,206,3.795,16
tinggi,125,4.292,16
adsorben,105,4.464,16
susu,182,3.918,16
kambing,159,4.053,16
kedelai,120,4.332,16
laktat,193,3.86,16
isolat,103,4.484,16
substitusi,100,4.513,16
kolesterol,107,4.446,16
tanam,113,4.392,16
antioksidan,460,2.995,16
mencit,343,3.287,16
profil,171,3.98,16
wistar,101,4.503,16
kanker,194,3.855,16
payudara,123,4.308,16
probiotik,162,4.034,16
fraksi,208,3.786,16
biodiesel,102,4.493,16
nanopartikel,107,4.446,16
etil,109,4.427,16
jenis,130,4.253,16
mus,155,4.078,16
musculus,147,4.131,16
ekspresi,159,4.053,16
hijau,114,4.383,16
curcuma,102,4.493,16
itik,132,4.238,16
growth,197,3.756,17
respons,142,4.082,17
qualiti,504,2.82,17
life,333,3.233,17
patient,2123,1.384,17
oral,180,3.846,17
effect,924,2.215,17
perform,133,4.147,17
syndrom,276,3.421,17
viru,111,4.326,17
dietari,109,4.344,17
affect,112,4.317,17
activ,169,3.909,17
resist,132,4.154,17
differ,206,3.712,17
pregnant,190,3.792,17
woman,434,2.969,17
risk,576,2.687,17
factor,740,2.437,17
cow,100,4.43,17
rate,110,4.335,17
statu,374,3.118,17
pregnanc,152,4.014,17
nutrit,250,3.519,17
birth,114,4.3,17
matern,178,3.857,17
bodi,220,3.646,17
score,106,4.372,17
type,388,3.081,17
influenc,138,4.11,17
improv,247,3.531,17
supplement,239,3.564,17
profil,233,3.589,17
acid,107,4.363,17
system,169,3.909,17
use,393,3.068,17
femal,101,4.42,17
diabet,582,2.676,17
infect,413,3.019,17
sever,169,3.909,17
concentr,112,4.317,17
level,810,2.346,17
correl,378,3.107,17
weight,216,3.665,17
studi,743,2.433,17
age,278,3.413,17
toward,126,4.2,17
therapi,267,3.454,17
mellitu,328,3.249,17
review,200,3.741,17
model,263,3.469,17
adolesc,229,3.607,17
health,773,2.393,17
bandung,101,4.42,17
indonesia,1276,1.892,17
among,742,2.434,17
year,218,3.656,17
child,755,2.417,17
surabaya,170,3.903,17
intak,155,3.995,17
blood,343,3.204,17
glucos,102,4.41,17
high,137,4.117,17
insulin,117,4.274,17
index,173,3.886,17
plasma,106,4.372,17
increas,149,4.034,17
serum,306,3.318,17
pulmonari,250,3.519,17
function,181,3.841,17
worker,152,4.014,17
reduc,104,4.391,17
analysi,355,3.17,17
base,257,3.492,17
hospit,706,2.484,17
impact,125,4.208,17
java,125,4.208,17
manag,172,3.891,17
stress,103,4.4,17
hypertens,171,3.897,17
clinic,310,3.305,17
characterist,150,4.027,17
chronic,278,3.413,17
report,142,4.082,17
gene,285,3.389,17
role,168,3.915,17
cancer,308,3.311,17
jakarta,161,3.957,17
case,208,3.702,17
associ,545,2.742,17
physic,110,4.335,17
elderli,186,3.814,17
low,116,4.282,17
commun,210,3.693,17
hepat,109,4.344,17
gener,177,3.863,17
polymorph,283,3.396,17
indonesian,594,2.656,17
coronari,122,4.232,17
heart,100,4.43,17
diseas,555,2.724,17
support,134,4.139,17
ass,126,4.2,17
earli,138,4.11,17
incid,131,4.162,17
predict,104,4.391,17
protein,204,3.722,17
goat,130,4.169,17
milk,138,4.11,17
servic,112,4.317,17
hiv,151,4.021,17
genet,110,4.335,17
obes,187,3.808,17
adult,183,3.83,17
trial,103,4.4,17
prevent,203,3.727,17
vitamin,213,3.679,17
famili,246,3.535,17
nurs,177,3.863,17
efficaci,118,4.266,17
behavior,205,3.717,17
knowledg,136,4.125,17
mother,184,3.824,17
intervent,132,4.154,17
relat,207,3.707,17
determin,104,4.391,17
treatment,324,3.261,17
dental,117,4.274,17
develop,189,3.798,17
relationship,312,3.298,17
consumpt,100,4.43,17
outcom,144,4.068,17
food,104,4.391,17
preval,216,3.665,17
school,110,4.335,17
comparison,155,3.995,17
district,115,4.291,17
citi,148,4.041,17
mass,115,4.291,17
primari,177,3.863,17
stroke,147,4.047,17
yogyakarta,138,4.11,17
control,199,3.746,17
evalu,119,4.257,17
popul,155,3.995,17
infant,100,4.43,17
center,165,3.933,17
area,138,4.11,17
acut,218,3.656,17
tuberculosi,325,3.258,17
cohort,115,4.291,17
helicobact,116,4.282,17
pylorus,117,4.274,17
program,106,4.372,17
peopl,100,4.43,17
disord,115,4.291,17
makassar,102,4.41,17
hubung,1316,1.678,18
tubuh,126,4.017,18
gigi,105,4.197,18
ganggu,169,3.725,18
obat,323,3.08,18
perilaku,539,2.569,18
informasi,111,4.142,18
sehat,731,2.265,18
remaja,474,2.697,18
kota,947,2.006,18
bandung,129,3.993,18
hidup,354,2.989,18
orang,174,3.696,18
desa,171,3.713,18
dasar,334,3.047,18
didik,147,3.864,18
status,376,2.929,18
sosial,197,3.573,18
faktorfaktor,269,3.262,18
pengaruh,870,2.091,18
tingkat,623,2.425,18
konsumsi,269,3.262,18
gambar,310,3.121,18
darah,360,2.972,18
infeksi,181,3.657,18
studi,440,2.772,18
pola,289,3.191,18
fisik,152,3.83,18
gizi,538,2.571,18
sekolah,197,3.573,18
keluarga,353,2.991,18
balita,260,3.296,18
dukung,153,3.824,18
beri,256,3.312,18
puskesmas,536,2.575,18
makan,332,3.053,18
faktor,617,2.434,18
risiko,391,2.89,18
ibu,554,2.542,18
asupan,204,3.538,18
anak,864,2.098,18
daerah,181,3.657,18
rumah,780,2.2,18
bayi,235,3.397,18
tahu,394,2.882,18
asuh,199,3.562,18
kerja,540,2.567,18
wanita,187,3.624,18
beda,173,3.702,18
zat,127,4.009,18
puas,138,3.926,18
layan,318,3.096,18
pasien,1115,1.843,18
sakit,918,2.037,18
surabaya,183,3.646,18
program,231,3.414,18
hamil,299,3.157,18
pangan,112,4.133,18
bulan,143,3.891,18
jadi,593,2.474,18
usia,479,2.687,18
analisis,613,2.441,18
berat,132,3.97,18
badan,127,4.009,18
indonesia,197,3.573,18
model,221,3.458,18
stres,101,4.236,18
kadar,276,3.237,18
wilayah,338,3.035,18
kabupaten,678,2.34,18
kualitas,292,3.181,18
lingkung,223,3.449,18
masyarakat,191,3.603,18
semarang,443,2.765,18
tengah,114,4.116,18
provinsi,128,4.001,18
jawa,165,3.749,18
karakteristik,162,3.767,18
kasus,245,3.355,18
guna,437,2.779,18
metode,186,3.63,18
camat,357,2.98,18
laksana,185,3.635,18
sistem,125,4.025,18
tua,104,4.207,18
dini,120,4.065,18
kembang,144,3.884,18
lurah,146,3.87,18
lansia,156,3.805,18
tahun,741,2.251,18
patuh,141,3.905,18
jalan,230,3.418,18
paru,212,3.499,18
medan,277,3.233,18
sikap,192,3.598,18
tuberkulosis,149,3.85,18
diri,106,4.188,18
bas,139,3.919,18
terapi,243,3.364,18
rawat,397,2.874,18
inap,256,3.312,18
evaluasi,188,3.619,18
rsup,247,3.347,18
yogyakarta,340,3.029,18
instalasi,119,4.073,18
ruang,135,3.948,18
sardjito,115,4.107,18
kanker,236,3.393,18
makassar,254,3.32,18
derita,385,2.905,18
turun,149,3.85,18
diabetes,217,3.476,18
lalu,161,3.773,18
latih,123,4.041,18
rsud,301,3.15,18
cegah,236,3.393,18
awat,515,2.615,18
upaya,128,4.001,18
peran,136,3.941,18
tipe,174,3.696,18
obesitas,157,3.798,18
melitus,121,4.057,18
terap,124,4.032,18
umum,164,3.755,18
hipertensi,151,3.837,18
2017,103,4.216,18
2013,105,4.197,18
demam,164,3.755,18
dengue,154,3.817,18
persepsi,142,3.898,18
tekan,103,4.216,18
